epoch,loss,time,ram
0,2.728857,0.002556,4300
1,2.726574,0.001551,5068
2,2.724295,0.000229,5068
3,2.722019,0.000217,5068
4,2.719747,0.000239,5068
5,2.717478,0.000222,5068
6,2.715212,0.000219,5068
7,2.712950,0.002387,5068
8,2.710691,0.000235,5068
9,2.708436,0.001436,5068
10,2.706184,0.000228,5068
11,2.703935,0.000286,5068
12,2.701689,0.000213,5068
13,2.699447,0.000287,5068
14,2.697209,0.000233,5068
15,2.694973,0.000220,5068
16,2.692741,0.001326,5068
17,2.690512,0.000226,5068
18,2.688287,0.000232,5068
19,2.686065,0.000267,5068
20,2.683846,0.000206,5068
21,2.681631,0.000232,5068
22,2.679419,0.000211,5068
23,2.677210,0.000229,5068
24,2.675005,0.000251,5068
25,2.672803,0.000223,5068
26,2.670604,0.000223,5068
27,2.668409,0.000854,5068
28,2.666217,0.001763,5068
29,2.664028,0.001897,5068
30,2.661843,0.000448,5068
31,2.659660,0.000374,5068
32,2.657482,0.000225,5068
33,2.655306,0.000210,5068
34,2.653134,0.000273,5068
35,2.650965,0.000208,5068
36,2.648799,0.000217,5068
37,2.646637,0.001631,5068
38,2.644478,0.001632,5068
39,2.642322,0.000369,5068
40,2.640169,0.000238,5068
41,2.638020,0.000218,5068
42,2.635874,0.000269,5068
43,2.633731,0.000249,5068
44,2.631592,0.000229,5068
45,2.629456,0.000259,5068
46,2.627323,0.000196,5068
47,2.625193,0.000767,5068
48,2.623067,0.000218,5068
49,2.620944,0.000229,5068
50,2.618824,0.000222,5068
51,2.616707,0.000194,5068
52,2.614594,0.000202,5068
53,2.612484,0.000241,5068
54,2.610377,0.000187,5068
55,2.608273,0.000205,5068
56,2.606173,0.000203,5068
57,2.604076,0.000244,5196
58,2.601982,0.000206,5196
59,2.599891,0.000491,5196
60,2.597804,0.000246,5196
61,2.595719,0.000257,5196
62,2.593638,0.000271,5196
63,2.591561,0.000233,5196
64,2.589486,0.000243,5196
65,2.587415,0.000271,5196
66,2.585347,0.000250,5196
67,2.583282,0.000237,5196
68,2.581220,0.000229,5196
69,2.579162,0.000232,5196
70,2.577106,0.000239,5196
71,2.575054,0.000507,5196
72,2.573005,0.000173,5196
73,2.570960,0.000246,5196
74,2.568917,0.000226,5196
75,2.566878,0.000215,5196
76,2.564842,0.000182,5196
77,2.562809,0.000197,5196
78,2.560779,0.000217,5196
79,2.558753,0.000217,5196
80,2.556729,0.000201,5196
81,2.554709,0.000205,5196
82,2.552692,0.000290,5196
83,2.550678,0.000584,5196
84,2.548667,0.000213,5196
85,2.546660,0.000213,5196
86,2.544656,0.000248,5196
87,2.542654,0.000175,5196
88,2.540656,0.000231,5196
89,2.538661,0.000220,5196
90,2.536670,0.000225,5196
91,2.534681,0.000230,5196
92,2.532696,0.000242,5196
93,2.530713,0.000208,5196
94,2.528734,0.001238,5196
95,2.526758,0.000231,5196
96,2.524785,0.000223,5196
97,2.522816,0.000213,5196
98,2.520849,0.000223,5196
99,2.518886,0.000211,5196
100,2.516925,0.001941,5196
101,2.514968,0.002882,5196
102,2.513014,0.000258,5196
103,2.511063,0.000238,5196
104,2.509115,0.000211,5196
105,2.507171,0.011427,5196
106,2.505229,0.000212,5196
107,2.503291,0.000257,5196
108,2.501355,0.000221,5196
109,2.499423,0.006751,5196
110,2.497494,0.000270,5196
111,2.495568,0.000222,5196
112,2.493645,0.000436,5196
113,2.491725,0.000205,5196
114,2.489808,0.000205,5196
115,2.487894,0.000469,5196
116,2.485984,0.000230,5196
117,2.484076,0.004508,5196
118,2.482172,0.000272,5196
119,2.480271,0.000177,5196
120,2.478372,0.004526,5196
121,2.476477,0.000227,5196
122,2.474585,0.000270,5196
123,2.472696,0.003610,5196
124,2.470810,0.000248,5196
125,2.468927,0.000228,5196
126,2.467047,0.003609,5196
127,2.465170,0.000234,5196
128,2.463297,0.000268,5196
129,2.461426,0.000207,5196
130,2.459558,0.000293,5196
131,2.457694,0.001739,5196
132,2.455832,0.001848,5196
133,2.453974,0.000215,5196
134,2.452118,0.001118,5196
135,2.450266,0.000175,5196
136,2.448416,0.001025,5196
137,2.446570,0.000232,5196
138,2.444727,0.000233,5196
139,2.442886,0.000224,5196
140,2.441049,0.000197,5196
141,2.439215,0.000718,5196
142,2.437383,0.001414,5196
143,2.435555,0.001564,5196
144,2.433730,0.003362,5196
145,2.431908,0.000247,5196
146,2.430089,0.000241,5196
147,2.428272,0.002840,5196
148,2.426459,0.003624,5196
149,2.424649,0.000319,5196
150,2.422842,0.000223,5196
151,2.421038,0.002560,5196
152,2.419236,0.000217,5196
153,2.417438,0.000698,5196
154,2.415643,0.000220,5196
155,2.413851,0.001051,5196
156,2.412061,0.000184,5196
157,2.410275,0.002846,5196
158,2.408492,0.000274,5196
159,2.406711,0.000214,5196
160,2.404934,0.004559,5196
161,2.403160,0.000247,5196
162,2.401388,0.000215,5196
163,2.399620,0.003805,5196
164,2.397854,0.000219,5196
165,2.396092,0.000241,5196
166,2.394332,0.002921,5196
167,2.392575,0.000210,5196
168,2.390821,0.000615,5196
169,2.389071,0.000209,5196
170,2.387323,0.000257,5196
171,2.385578,0.000202,5196
172,2.383836,0.000548,5196
173,2.382097,0.000204,5196
174,2.380361,0.000231,5196
175,2.378628,0.000247,5196
176,2.376897,0.000206,5196
177,2.375170,0.000200,5196
178,2.373445,0.000232,5196
179,2.371724,0.000215,5196
180,2.370005,0.000175,5196
181,2.368290,0.000226,5196
182,2.366577,0.000204,5196
183,2.364867,0.000203,5196
184,2.363160,0.000325,5196
185,2.361456,0.000209,5196
186,2.359755,0.000219,5196
187,2.358056,0.000235,5196
188,2.356361,0.000214,5196
189,2.354668,0.000170,5196
190,2.352979,0.000235,5196
191,2.351292,0.000231,5324
192,2.349608,0.000208,5324
193,2.347927,0.000251,5324
194,2.346249,0.000218,5324
195,2.344573,0.000220,5324
196,2.342901,0.000233,5324
197,2.341231,0.000259,5324
198,2.339564,0.000203,5324
199,2.337900,0.000210,5324
200,2.336239,0.000224,5324
201,2.334581,0.000201,5324
202,2.332926,0.000219,5324
203,2.331273,0.000219,5324
204,2.329624,0.000242,5324
205,2.327977,0.000221,5324
206,2.326333,0.000225,5324
207,2.324692,0.000200,5324
208,2.323053,0.000256,5324
209,2.321418,0.000226,5324
210,2.319785,0.000224,5324
211,2.318155,0.000231,5324
212,2.316528,0.000233,5324
213,2.314904,0.000221,5324
214,2.313282,0.000228,5324
215,2.311664,0.000239,5324
216,2.310048,0.000217,5324
217,2.308435,0.000230,5324
218,2.306824,0.000227,5324
219,2.305217,0.000236,5324
220,2.303612,0.000233,5324
221,2.302010,0.000244,5324
222,2.300411,0.000220,5324
223,2.298815,0.000226,5324
224,2.297221,0.000213,5324
225,2.295630,0.000220,5324
226,2.294042,0.000225,5324
227,2.292457,0.000220,5324
228,2.290874,0.000230,5324
229,2.289294,0.000245,5324
230,2.287717,0.000865,5324
231,2.286143,0.000191,5324
232,2.284572,0.000210,5324
233,2.283003,0.000255,5324
